Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.81,-115.824,0,top
C2,22pF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.81,-112.776,0,top
C3,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,143.764,-99.949,0,top
C4,0.1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,136.017,-99.949,180,top
C5,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.939,-112.649,0,top
C6,1uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,130.81,-110.871,0,top
C7,10uF,C_0603_1608Metric_Pad1.05x0.95mm_HandSolder,131.191,-101.854,270,top
C8,100uF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,149.225,-99.568,270,top
C9,100uF,C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,146.939,-99.568,270,top
F1,Polyfuse,Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.54,-101.854,90,top
J-USB1,USB_B_Micro,USB_Micro-B,123.952,-106.934,270,top
R1,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.54,-106.68,180,top
R2,22,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,129.54,-105.156,0,top
R3,470ohm,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,148.59,-109.855,0,top
R4,470ohm,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,147.701,-105.664,0,top
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,139.361,-107.38,0,top
Y1,Crystal_GND24,Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,125.476,-114.3,0,top
